gene,baseMean,log2FoldChange,log2FoldChange_unshrunk,lfcSE,stat,pvalue,padj,padj_calibrated
SAMD11,0.29712248393196244,0.0009991516128438978,-1.2909842658991866,0.3733404455797265,-0.44242379044197416,0.6581825666530192,0.7594138479812704,1.0
NOC2L,81.32444919837275,-0.05330355254442545,-0.05394978654810993,0.02885970750877628,-2.126796006395946,0.03343703627681654,0.07365303176188476,1.0
KLHL17,4.694124698470287,0.10588550103336579,0.13908765538773335,0.09099891283841746,1.5934001294219906,0.1110704567099784,0.1972137557454297,1.0
PLEKHN1,4.8370161644752026,0.11296408419608364,0.13653473797408566,0.08472439767263909,1.668714376079359,0.09517399869079131,0.17381605168373057,1.0
PERM1,0.06347283944869712,0.00048106337230574764,-1.4162102488800377,12.297828361105257,-0.4849292013640575,0.6277265675073788,,
HES4,21.65619816777943,0.010633844330312205,-0.007678796394229997,0.09285735364624692,-0.08887291300139562,0.9291829106426348,0.948659580807253,1.0
ISG15,586.1884471313874,0.0635863939086471,0.06673974084537646,0.029523756529965497,2.550413286024574,0.01075952863663345,0.028188154057188254,1.0
AGRN,4.188852691521663,0.025470216596677118,0.0216281222609896,0.11788820855484737,0.21471206740187207,0.8299918135752558,0.8740610950432168,1.0
RNF223,0.09448432326904774,0.0005826994015054162,-1.4945958373784725,13.587811392781575,-0.511166400227404,0.6092345439282635,,
C1orf159,12.847378565620028,0.026159215140127857,0.030469633422823012,0.061473080607995306,0.5853394073807022,0.5583195223514661,0.7013369844714625,1.0
TTLL10,0.2832804144229872,0.0005429125647223486,-1.1780599190256438,4.423458603125831,-0.40368183874144814,0.6864466962784005,0.7738263946081,1.0
TNFRSF18,141.7106531215751,-0.22046562510535217,-0.24246854229889975,0.056829771984460924,-4.010628282032799,6.055738693535147e-05,0.0002800070329074049,0.6630524686502209
TNFRSF4,71.87956610684124,-0.12882021602469262,-0.18165699295913798,0.10963597128482067,-2.0605865619347803,0.039342499864173215,0.0842759308982738,1.0
SDF4,237.09441116516334,-0.013732447091287847,-0.014188583164811228,0.014916512858747734,-1.016705903274543,0.3092933566271596,0.44585070131879667,1.0
B3GALT6,14.159825458553264,-0.15982912494433946,-0.17843423265486502,0.051497698923201544,-3.4802098422169334,0.0005010211969165072,0.0019000592001706524,1.0
C1QTNF12,0.7259092931237696,0.049199181543505666,-0.13420960513444985,0.23956857127613196,-0.6638959293825705,0.5067569217630298,0.653114851916712,1.0
UBE2J2,101.19257868559573,-0.03308237685879317,-0.03661193105669525,0.02263901013226387,-1.8052279352940797,0.07103902122671493,0.13630963204697277,1.0
SCNN1D,0.9157520922985959,0.11375137258512515,0.05447225554690927,0.254265628210879,0.24283897668788101,0.8081301401066234,0.8568357475438211,1.0
ACAP3,16.61196181700141,0.035062542338545284,0.04181722700049612,0.06745874259710574,0.7741435144556699,0.43884592718085547,0.5848556237533598,1.0
PUSL1,29.044211003845803,-0.1467581813501208,-0.15379295349609076,0.03599879668365814,-4.3225829168313314,1.542130971874602e-05,8.024460580394005e-05,1.0
INTS11,117.96761039508375,-0.044405069452027116,-0.045709375069903475,0.020511807955733184,-2.4402320733607437,0.014677829242031048,0.03680380226683323,1.0
CPTP,31.921495484262067,-0.06161998962693117,-0.06812038637483257,0.047958849189608195,-1.7017989304710461,0.08879306707690224,0.16421499684117785,1.0
TAS1R3,0.3648081551170316,-0.01801822006717609,-0.7845380351557352,0.6681825026021432,-2.4117377082120566,0.01587669860839657,0.03937553239907151,0.44818901645400544
DVL1,6.782337588394214,0.05756419665225786,0.07175385937854863,0.08440092666852358,0.97383324294445,0.3301393443402759,0.4697064491756335,1.0
MXRA8,0.7710778188533709,0.034611177800999676,-0.6457702808049428,0.22933043140080683,-1.5194577544584367,0.12864731398747092,0.22179503206123088,1.0
AURKAIP1,309.65686171913836,-0.15158664664329757,-0.15372987840451885,0.01903847525381388,-8.139443524965944,3.970987732133005e-16,9.246267369779616e-15,1.0
CCNL2,91.89001506940946,0.1505546973055041,0.1545450524399517,0.02677661708183495,5.829502207689363,5.559296153719388e-09,5.051340159978531e-08,1.0
MRPL20,258.36552163852144,-0.13633864575419405,-0.13953859048401682,0.022112404867491282,-6.44230095819968,1.1767563804353178e-10,1.3688993800027417e-09,1.0
ANKRD65,0.12557653963075951,0.0009232952040571504,-1.3403523522681655,10.667096342971364,-0.45879519640727867,0.646381244595724,,
VWA1,0.461890881759407,0.0018817810268356514,-1.0437134819187917,3.5321864665965337,-0.77038036413354,0.4410742977145311,0.5871873706248414,1.0
ATAD3C,2.125379482444281,-0.007147876980441603,-0.06973862413171769,0.6722634636403589,-0.4979312283585644,0.618532515587255,0.7400272055484578,1.0
ATAD3B,24.82671747798169,-0.2498004175577457,-0.26555581285863156,0.053169041492677975,-4.853232798977517,1.2146496291431874e-06,7.716851237502416e-06,0.23809901035261719
ATAD3A,21.621173199908363,-0.4296588265933298,-0.4460181408466262,0.06068776309368597,-7.241201491464788,4.447271051495911e-13,6.9298064697955875e-12,2.215551344167146e-05
TMEM240,0.2001449586609154,0.0019812835196801014,-1.2617421939736335,3.3184459161960844,-1.0209739653736367,0.3072667735662892,0.4434650471144186,1.0
SSU72,275.72295515407603,-0.0016656190769113672,-0.0003627987475265736,0.014527361643801088,-0.026640129219392652,0.978746766118679,0.9850754632288081,1.0
FNDC10,1.0905068073099822,-0.006270832739138367,-0.24985890534341013,0.22520186150041768,-1.4142049920159248,0.15730172268241538,0.26107564543488504,1.0
MIB2,73.83867147797696,0.06373041750169658,0.06606451792354684,0.030987322537961867,2.4286998346514457,0.015153071867863358,0.0377837348333281,1.0
MMP23B,8.290052238960934,0.09201044468643715,0.11535580865858552,0.08155846894188444,1.512568125613767,0.13038939574906205,0.22428542307826652,1.0
CDK11B,89.3663414356707,-0.013011752291620885,-0.01367247059051782,0.026203578721206145,-0.5962273572484604,0.5510233520777568,0.6942582386420081,1.0
SLC35E2B,35.73144698667513,0.18961270498867042,0.19837631090524865,0.03975594873938869,4.928566717339579,8.283504834370021e-07,5.411486734862167e-06,0.8940203147312722
CDK11A,93.3766565348737,0.1356109255846168,0.1392923854231737,0.02339913078965972,6.049448094022993,1.4534288231150083e-09,1.4383621801663384e-08,1.0
SLC35E2A,15.103220421743778,0.22746259782388933,0.2423002245611511,0.052566795915223785,4.531845690338537,5.84705563006936e-06,3.2977485869473506e-05,0.47094918416720366
NADK,28.36749745177472,-0.04997193535883954,-0.05230945890718443,0.04197863160564705,-1.4390695224752859,0.1501308261091383,0.2510907918456253,1.0
GNB1,128.04745034843063,-0.03992221238695588,-0.04094908968108563,0.016892991783366562,-2.5638983329109255,0.010350385766352933,0.027321202612750967,1.0
CALML6,0.00752408819741421,0.0003183705033106887,-1.5790196100832958,16.709591719656753,-0.5399697385322237,0.5892179019995876,,
TMEM52,1.1148051636691028,0.025071779800313172,-0.1548151386235231,0.23524032826951685,-0.7387954056847529,0.46003124203442036,0.6073803601265813,1.0
CFAP74,0.028310167906609812,0.00033127997783910637,-1.5448695857946497,13.196555600576774,-0.5285046995519668,0.5971490861247015,,
