Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_Pathways_2024__Mitochondrial Translation Elongation,-0.7961357607239602,-2.8383794273642478,0.001,0.001,0.001,67/87,14.55%,MRPL23;MRPL51;MRPL52;MRPL37;MRPS16;MRPL11;CHCHD1;MRPL13;MRPL14;MRPL27;MRPL15;AURKAIP1;MRPL4;MRPS34;MRPL16;MRPS23;MRPS33;MRPL17;MRPL58;MRPS7;MRPS15;MRPS18C;MRPS11;MRPL24;MRPL57;TUFM;MRPL28;MRPS24;GADD45GIP1;MRPL20;MRPL41;MRPL9;MRPL47;MRPS26;MRPL48;ERAL1;MRPL22;MRPL35;MRPL40;MRPS10;MRPL21;MRPL12;MRPL3;MRPL34;MRPL19;MRPS2;MRPS18B;MRPS35;MRPS25;MRPS6;MRPS18A;MRPL36;MRPS14;MRPS36;MRPL46;MRPL45;MRPL39;TSFM;MRPS17;MRPL55;MRPS21;MRPL54;MRPL42;MRPS28;MRPL32;MRPS27;MRPL2
prerank,Reactome_Pathways_2024__Mitochondrial Translation,-0.7877351616734347,-2.831312296628324,0.001,0.001,0.001,69/93,14.62%,MRPL23;MRPL51;MRPL52;MRPL37;MRPS16;MRPL11;CHCHD1;MRPL13;MRPL14;MRPL27;MRPL15;AURKAIP1;MRPL4;MRPS34;MRPL16;MRPS23;MRPS33;MRPL17;MRPL58;MRPS7;MRPS15;MRPS18C;MRPS11;MRPL24;MRPL57;TUFM;MRPL28;MRPS24;GADD45GIP1;MRPL20;MRPL41;MRPL9;MRPL47;MRPS26;MRPL48;ERAL1;MRPL22;MRPL35;MRPL40;MRPS10;MRPL21;MRPL12;MRPL3;MRPL34;MRPL19;MRPS2;MRPS18B;MRPS35;MRPS25;MRPS6;MRPS18A;MRPL36;MRPS14;MRPS36;MRPL46;MRPL45;MRPL39;TSFM;MTIF2;MRPS17;MRPL55;MRPS21;MRPL54;MRPL42;MRPS28;MRPL32;MRPS27;MRPL2;MRRF
prerank,Reactome_Pathways_2024__Mitochondrial Translation Initiation,-0.7926531226939646,-2.828978488512348,0.001,0.001,0.001,66/87,14.55%,MRPL23;MRPL51;MRPL52;MRPL37;MRPS16;MRPL11;CHCHD1;MRPL13;MRPL14;MRPL27;MRPL15;AURKAIP1;MRPL4;MRPS34;MRPL16;MRPS23;MRPS33;MRPL17;MRPL58;MRPS7;MRPS15;MRPS18C;MRPS11;MRPL24;MRPL57;MRPL28;MRPS24;GADD45GIP1;MRPL20;MRPL41;MRPL9;MRPL47;MRPS26;MRPL48;ERAL1;MRPL22;MRPL35;MRPL40;MRPS10;MRPL21;MRPL12;MRPL3;MRPL34;MRPL19;MRPS2;MRPS18B;MRPS35;MRPS25;MRPS6;MRPS18A;MRPL36;MRPS14;MRPS36;MRPL46;MRPL45;MRPL39;MTIF2;MRPS17;MRPL55;MRPS21;MRPL54;MRPL42;MRPS28;MRPL32;MRPS27;MRPL2
prerank,Reactome_Pathways_2024__Mitotic Metaphase and Anaphase,-0.7140535291529921,-2.818989353114596,0.001,0.001,0.001,111/215,9.31%,ZWINT;CENPU;CENPN;BIRC5;MAD2L1;AURKB;CDCA8;NUF2;CCNB2;BANF1;CDCA5;KNL1;SGO1;TUBA1B;PLK1;CENPA;ANAPC11;SPC25;CENPE;CENPH;UBE2C;PSMB3;CENPM;SKA1;BUB1;CDK1;RAN;NDC80;KIF2C;SPC24;PSMD8;PSMB6;TMPO;CDC20;PSMA6;PSMA4;CCNB1;PSMB2;SGO2;CENPF;DSN1;PSMC3;PTTG1;SPDL1;PSMA3;LMNB1;SMC1A;CENPO;INCENP;ANAPC15;PSMC5;CENPP;CENPK;UBE2I;BUB1B;SKA2;FBXO5;SMC3;ZWILCH;RAD21;SEM1;VRK1;ESPL1;TUBA1C;PSMA7;ERCC6L;SUMO1;ITGB3BP;SEC13;ADRM1;NDC1;PSMA5;PSMB5;PSMD2;NUP93;PSMD7;TUBB6;PSMD11;PSMB7;PSMC1;PSMB1;KPNB1;PSMD14;PSMD1;NUDC;KIF18A;CENPL;PSMD13;CENPQ;PSMC4;NUP37;PSMC2;SEH1L;KNTC1;RCC1;NUP85;RANGAP1;CKAP5;UBE2S;PSMD3;LBR;PPP1CC;NUP107;NSL1;PSMD12;NUP62;PSMB4;PPP2R1A;CENPI;CDC23;PSMD6
prerank,Reactome_Pathways_2024__Mitotic Anaphase,-0.7127560761586302,-2.8155438905341947,0.001,0.001,0.001,117/214,11.49%,ZWINT;CENPU;CENPN;BIRC5;MAD2L1;AURKB;CDCA8;NUF2;CCNB2;BANF1;CDCA5;KNL1;SGO1;TUBA1B;PLK1;CENPA;ANAPC11;SPC25;CENPE;CENPH;UBE2C;PSMB3;CENPM;SKA1;BUB1;CDK1;RAN;NDC80;KIF2C;SPC24;PSMD8;PSMB6;TMPO;CDC20;PSMA6;PSMA4;CCNB1;PSMB2;SGO2;CENPF;DSN1;PSMC3;PTTG1;SPDL1;PSMA3;LMNB1;SMC1A;CENPO;INCENP;ANAPC15;PSMC5;CENPP;CENPK;UBE2I;BUB1B;SKA2;SMC3;ZWILCH;RAD21;SEM1;VRK1;ESPL1;TUBA1C;PSMA7;ERCC6L;SUMO1;ITGB3BP;SEC13;ADRM1;NDC1;PSMA5;PSMB5;PSMD2;NUP93;PSMD7;TUBB6;PSMD11;PSMB7;PSMC1;PSMB1;KPNB1;PSMD14;PSMD1;NUDC;KIF18A;CENPL;PSMD13;CENPQ;PSMC4;NUP37;PSMC2;SEH1L;KNTC1;RCC1;NUP85;RANGAP1;CKAP5;UBE2S;PSMD3;LBR;PPP1CC;NUP107;NSL1;PSMD12;NUP62;PSMB4;PPP2R1A;CENPI;CDC23;PSMD6;BUB3;RCC2;TUBB4B;CHMP4B;ZW10;CHMP2A;XPO1
prerank,Reactome_Pathways_2024__Separation of Sister Chromatids,-0.7307239557966173,-2.812747218312281,0.001,0.001,0.001,94/170,9.31%,ZWINT;CENPU;CENPN;BIRC5;MAD2L1;AURKB;CDCA8;NUF2;CDCA5;KNL1;SGO1;TUBA1B;PLK1;CENPA;ANAPC11;SPC25;CENPE;CENPH;UBE2C;PSMB3;CENPM;SKA1;BUB1;NDC80;KIF2C;SPC24;PSMD8;PSMB6;CDC20;PSMA6;PSMA4;PSMB2;SGO2;CENPF;DSN1;PSMC3;PTTG1;SPDL1;PSMA3;SMC1A;CENPO;INCENP;ANAPC15;PSMC5;CENPP;CENPK;BUB1B;SKA2;SMC3;ZWILCH;RAD21;SEM1;ESPL1;TUBA1C;PSMA7;ERCC6L;ITGB3BP;SEC13;ADRM1;PSMA5;PSMB5;PSMD2;PSMD7;TUBB6;PSMD11;PSMB7;PSMC1;PSMB1;PSMD14;PSMD1;NUDC;KIF18A;CENPL;PSMD13;CENPQ;PSMC4;NUP37;PSMC2;SEH1L;KNTC1;NUP85;RANGAP1;CKAP5;UBE2S;PSMD3;PPP1CC;NUP107;NSL1;PSMD12;PSMB4;PPP2R1A;CENPI;CDC23;PSMD6
prerank,Reactome_Pathways_2024__Mitochondrial Translation Termination,-0.7913034850585884,-2.8020477408591398,0.001,0.001,0.001,66/87,14.62%,MRPL23;MRPL51;MRPL52;MRPL37;MRPS16;MRPL11;CHCHD1;MRPL13;MRPL14;MRPL27;MRPL15;AURKAIP1;MRPL4;MRPS34;MRPL16;MRPS23;MRPS33;MRPL17;MRPL58;MRPS7;MRPS15;MRPS18C;MRPS11;MRPL24;MRPL57;MRPL28;MRPS24;GADD45GIP1;MRPL20;MRPL41;MRPL9;MRPL47;MRPS26;MRPL48;ERAL1;MRPL22;MRPL35;MRPL40;MRPS10;MRPL21;MRPL12;MRPL3;MRPL34;MRPL19;MRPS2;MRPS18B;MRPS35;MRPS25;MRPS6;MRPS18A;MRPL36;MRPS14;MRPS36;MRPL46;MRPL45;MRPL39;MRPS17;MRPL55;MRPS21;MRPL54;MRPL42;MRPS28;MRPL32;MRPS27;MRPL2;MRRF
prerank,Reactome_Pathways_2024__G1 S Transition,-0.7576209211996969,-2.7962125279832484,0.001,0.001,0.001,79/120,9.79%,TK1;ORC6;CCNA2;DHFR;MCM2;CKS1B;TYMS;MCM7;MCM10;CDC45;CDT1;RPA3;MCM4;RRM2;CDC6;CDK4;MCM3;ORC1;PSMB3;CDK1;MCM5;PSMD8;PSMB6;PCNA;PSMA6;PSMA4;CCNB1;PSMB2;TFDP1;GMNN;POLE2;PSMC3;PSMA3;CDK2;PSMC5;CDC25A;MCM6;FBXO5;E2F1;SEM1;HDAC1;PSMA7;RBBP4;ADRM1;PSMA5;PSMB5;PSMD2;POLA1;PSMD7;PSMD11;RPA1;PSMB7;PSMC1;RPA2;PSMB1;PSMD14;PSMD1;CCNE2;E2F4;CCNE1;PSMD13;PSMC4;PSMC2;POLE3;PSMD3;POLE;CDC7;PRIM1;LIN9;DBF4;SKP2;PSMD12;PSMB4;PPP2R1A;PRIM2;PSMD6;MCM8;RBL1;POLE4
prerank,GO_Biological_Process_2025__Mitochondrial Translation (GO:0032543),-0.7800572709955976,-2.79103165161826,0.001,0.001,0.001,59/93,12.24%,MRPL23;MRPL51;MRPL52;MRPL37;MRPS16;MRPL11;CHCHD1;MRPL13;MRPL14;MRPL15;MRPL4;MRPS34;MRPL16;MRPS23;MRPS33;MRPL17;MRPL58;MRPS7;MRPS15;MRPS18C;MRPS11;MRPL24;MRPL57;TUFM;MRPS24;GADD45GIP1;MRPL20;MRPL41;MRPL9;MRPL47;MRPS26;MRPL48;MRPL35;MRPL40;MRPS10;MRPL21;MRPL12;MRPL3;MRPL34;MRPL19;MRPS2;MRPS18B;MRPS35;MRPS25;MRPS6;MRPS18A;MRPL36;MRPS14;MRPL46;GATB;MRPL45;MRPL39;TSFM;MTIF2;MRPS17;MRPL55;MRPS21;MRPL54;MRPL42
prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.6561266016503945,2.78561207457971,0.001,0.001,0.001,89/198,13.01%,BTG2;DUSP1;JUN;BTG1;PPP1R15A;ZFP36;KLF6;CCL5;CD69;PNRC1;CD44;PDE4B;FOS;JUNB;FOSB;TNFAIP3;IER2;DUSP2;IL7R;PTGER4;SLC2A3;CCNL1;MCL1;NR4A2;EGR1;DDX58;EIF1;B4GALT1;TNF;TNFSF9;GADD45B;DNAJB4;NR4A1;SQSTM1;RHOB;GPR183;TIPARP;CCL4;NFAT5;ID2;MXD1;ZC3H12A;MAFF;NFKBIA;BCL6;TGIF1;IL6ST;PFKFB3;LITAF;NR4A3;PTPRE;SAT1;REL;IRF1;FOSL2;KLF9;SOCS3;KLF10;IFIH1;KLF2;CFLAR;BIRC2;AREG;SIK1;PLK2;CEBPB;KDM6B;CSF1;ATF3;TSC22D1;EHD1;ATP2B1;PDLIM5;SMAD3;IFIT2;CDKN1A;MAP3K8;IER3;ICAM1;BCL2A1;EGR3;DUSP5;TNFAIP8;NFE2L2;IER5;IL23A;BHLHE40;ZBTB10;RIPK2
prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,-0.7033847097123547,-2.781594364030768,0.001,0.001,0.001,109/200,12.14%,COX8A;ATP5MC3;NDUFB2;COX5A;COX6C;COX6A1;PRDX3;UQCRH;HSD17B10;ATP5MF;NDUFAB1;NDUFA4;NDUFB3;VDAC3;NDUFA2;ATP5F1B;UQCRQ;ATP5PF;ATP5F1C;NDUFS6;MRPL11;VDAC1;SLC25A5;SLC25A3;NDUFS8;NDUFV2;NDUFB6;UQCRFS1;CYC1;UQCRC1;PHB2;ATP5MC1;TIMM10;COX7A2;TIMM8B;MRPL15;ATP5PB;ATP5MG;MRPS12;COX7B;TIMM13;NDUFA6;TOMM22;MRPS15;NDUFS3;NDUFB7;TIMM17A;SUCLG1;ATP5F1A;ETFA;COX5B;NDUFB4;COX6B1;GOT2;MRPS11;MDH1;FH;ACAT1;DECR1;SDHB;UQCR10;COX17;SLC25A11;IDH3A;ATP5PD;LDHA;MDH2;NDUFC1;TIMM50;MRPL35;ATP5F1D;IDH2;LDHB;IMMT;AIFM1;NDUFB1;NDUFS7;POLR2F;NDUFA8;MRPL34;CS;ECI1;SDHC;ECHS1;ETFB;NDUFV1;AFG3L2;ACAA2;PDHA1;DLD;FDX1;ATP5MC2;ATP6V0B;VDAC2;GPI;NDUFA1;HADHA;TIMM9;CYB5A;NDUFA7;SUCLA2;IDH3B;UQCRC2;BAX;NDUFS4;GPX4;SLC25A6;NDUFB5;MTX2
