context	gene	family	log2FoldChange	padj	baseMean	tag
Tang_Tumor	ALDOA	metabolism	-0.1353867833800257	0.0061766995406065	69.55047675168088	[sig]
Tang_Tumor	CCL3	effector	0.3341068369219913	0.0032369340221662	189.9037956817736	[sig]
Tang_Tumor	CCL4	effector	0.166707573629318	0.0246016576599546	664.1347352229692	[sig]
Tang_Tumor	CD69	activation	0.2292275018938668	0.0007556028749094	143.2513284608488	[sig]
Tang_Tumor	COX5A	metabolism	-0.1580924528172952	0.0089425862299478	38.7868167410983	[sig]
Tang_Tumor	COX6A1	metabolism	-0.1309287097229003	0.0017307648203679	63.35334640220087	[sig]
Tang_Tumor	CXCR4	effector	0.2447269054565362	1.2804984744180597e-07	195.53062842986665	[sig]
Tang_Tumor	DUSP2	stress	0.1710511507693924	0.0022407034988465	184.88388569006725	[sig]
Tang_Tumor	ENO1	metabolism	-0.2205642404843385	3.063193556969719e-05	59.39937616858034	[sig]
Tang_Tumor	FOS	stress	0.2755256228675685	0.0005628567721715	174.52260921238835	[sig]
Tang_Tumor	GAPDH	metabolism	-0.1475860431865367	0.0045180096848385	272.65318088112366	[sig]
Tang_Tumor	IL7R	activation	0.4461910649717876	0.0232880268396337	23.91959828403528	[sig]
Tang_Tumor	JUNB	stress	0.2033921599990209	0.0002620232767161	186.39890293238284	[sig]
Tang_Tumor	KLRB1	other	0.1575868413968527	0.002304919588074	176.38516972601653	[sig]
Tang_Tumor	KLRF1	other	0.1828994128703045	6.714914672915845e-05	112.65488172162884	[sig]
Tang_Tumor	MCM5	prolif	-0.2991218830561183	0.0219877696215134	7.476295479848488	[sig]
Tang_Tumor	MCM7	prolif	-0.3988166444924907	0.0020934094717631	8.676049312442593	[sig]
Tang_Tumor	NDUFA6	metabolism	-0.2088165213440731	0.001351074547432	26.69117813477472	[sig]
Tang_Tumor	NFKBIA	stress	0.1859564953398442	0.0062978880220236	159.3589784793645	[sig]
Tang_Tumor	NKG7	effector	0.0593621342635527	0.1590455428924912	739.7817500764753	[apriori-disclose]
Tang_Tumor	PKM	metabolism	-0.2128517954170725	0.0027954657762416	34.35654535088394	[sig]
Tang_Tumor	SRGN	effector	0.0727294236087302	0.0188063033108612	445.0554313353017	[relaxed]
Tang_Tumor	TFDP1	prolif	-0.3005400288253139	0.0206472339455316	5.731378097322117	[sig]
