gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
GPNMB,0.23942645,0.33208808,0.8107749267677653,1.0,0.010596765197992191,0.008372935053179452
TREM1,0.23092508,0.76430494,0.8173730020256227,1.0,0.0053147862602932975,0.0031681375876895226
WFDC2,0.22676228,0.4810129,0.8206085962072165,1.0,0.01249958990846757,0.01040959493097986
EBLN2,0.22334321,1.3237202,0.8232684053961766,1.0,0.013385387618516454,0.011314777098891152
MS4A7,0.22299251,0.35198912,0.8235413376664366,1.0,0.01089203110134182,0.008825526137135099
LILRB3,0.21334639,1.2605664,0.8310567866004088,1.0,0.00492109838916046,0.0029418420457116997
ELF3,0.21194682,0.55097145,0.832148528870414,1.0,0.01056395787539779,0.008599230595157275
FBLIM1,0.20441926,0.55211073,0.8380258870443771,1.0,0.006200583970342181,0.004299615297578638
FAM71D,0.192367,0.6353903,0.8474547350138901,1.0,0.006987959712607854,0.00520479746548993
C2orf15,0.18816106,1.7243085,0.8507503949814489,1.0,0.002427741871985827,0.0006788866259334691
SPINK1,0.18260346,0.4828524,0.855109165472396,1.0,0.012105902037334733,0.01040959493097986
TM4SF1,0.18250121,0.2397008,0.8551894031975776,1.0,0.010301499294642564,0.008599230595157275
ADPRM,0.17774566,0.33347547,0.8589227248621746,1.0,0.023358813687214985,0.02172437202987101
SDCBP2,0.17585957,2.922622,0.8604042643467458,1.0,0.0034447688724123225,0.0018103643358225842
