gene,baseMean,log2FoldChange,log2FoldChange_unshrunk,lfcSE,stat,pvalue,padj,padj_calibrated
STPG1,0.3421022785749621,-0.0015788065811661116,-1.366476235058177,0.5997811673615399,-3.1720271461562053,0.0015137885609109258,0.04856122938385598,0.38345021734178475
YY1,18.25829886274986,-0.11804989220843384,-0.1636882692254437,0.056404483116127585,-2.621987362400265,0.008741867252641752,0.11288707181939846,1.0
KLF13,12.720700297268758,0.035399885400417844,0.08547454214547276,0.11123512666034695,1.1406252432967325,0.25402590785603496,0.5791680612050271,1.0
LRRC25,0.18321476614274249,0.0001996305165786979,-1.6480499926540724,1.7322542736619253,-0.5883355618736505,0.5563070803390777,,1.0
NRP1,0.2301502576986497,-4.0254299562897055e-05,-1.9332714010126504,2.0303140037630643,-0.66300238257842,0.5073290281433138,0.7746981349628059,1.0
AKTIP,2.7880950219994713,0.02837844939479301,0.1812320560792955,0.9401364658436302,1.156794715296989,0.24735624148105384,0.5747973438303111,1.0
LTB4R,2.2329862368852105,0.029692750379780804,0.16401089662093146,0.2590670324293337,0.9134085398728412,0.3610277158097569,0.684607919821343,1.0
STRAP,25.002215920408585,-0.05098353169139568,-0.07753772557119928,0.07573302456716884,-1.5895158876986417,0.1119439700291731,0.3837888096568085,1.0
EHBP1L1,3.0472890525398126,0.046747883569300056,0.23054873794192618,0.4176228258482813,1.565905511748307,0.11737073932226381,0.39200528780548,1.0
RORB,0.41726340665641953,0.0033592996216151006,-1.2191592148728585,1.0263687061414504,-2.404488073940117,0.0161951346392552,0.15000458334000283,0.721032352434978
NCOA4,10.636389531409176,0.01365814301958859,0.03929571459372615,0.06444700085368078,0.48715198364556933,0.626150629819531,0.8232697900746807,1.0
URM1,10.236688362475707,-0.10285749585033659,-0.16785328609580644,0.06497886407393957,-2.28031098605712,0.022589250689980862,0.17687012360599552,1.0
B3GALT2,0.05526652196555199,2.0873791528879375e-05,-2.0886627420992676,4.77997091396941,-0.7154526653422885,0.4743293796989554,,1.0
NIPSNAP3B,0.07515644222399548,0.0002259311584110149,-1.7796142880881096,1.9413348392597076,-0.6101999046101199,0.5417293929574769,,1.0
FOSL2,35.78331094572495,0.048596977172630805,0.08312694565363858,0.07380879352005665,1.496289253627236,0.13457829430520366,0.42501450549304837,1.0
SYNE1,26.764060099338977,0.08018756306044283,0.1051979990269396,0.04589576832985577,2.306403285877696,0.021088108562123054,0.17031432012107173,1.0
NPHP1,0.09639155673522433,0.0003729664631570407,-1.7231704214844248,0.22641748079704413,-0.5909211884694119,0.5545732283257141,,1.0
ZC3H11A,7.4862897222976725,0.02876026229434951,0.07129164690939364,0.15362910252663883,0.7776281617230312,0.4367882539318484,0.7428294824423645,1.0
NPHP4,0.4170195662321946,-5.226840762309295e-05,-1.139071767689318,0.17514043400003895,-3.078550588666191,0.0020801020979287384,0.05640936668661388,0.45016725020852605
ECI1,2.306337220942929,-0.022383249181029175,-0.2774427752924135,0.16667933811093016,-1.7917858582150623,0.0731672749811932,0.31271199716490805,1.0
